signal,data_stream,dataset,namespace,docs,docs_24h,first_seen,last_seen,collector,what_it_contains,status,template,backing_indices
logs,logs-esf.cloudwatch-default,esf.cloudwatch,default,945971175,494919747,2026-09-01T06:02:51.914Z,2026-09-03T12:50:27.263Z,ESF CloudWatch subscription,Mixed: Container Insights fluent-bit (Fargate) + EKS control-plane (/aws/eks/*/cluster),Live — dominant volume,logs,5
logs,logs-kubernetes.container_logs-default,kubernetes.container_logs,default,37889226,37889226,2026-09-03T05:59:31.454Z,2026-09-03T12:54:49.067Z,ESF CloudWatch (rerouted/retargeted),"Intended Fargate container logs; also contains EKS control-plane groups (apm-stage, unified, smartsignal, pss)",Live since 2026-09-03 05:59Z,logs-kubernetes.container_logs,2
logs,logs-aws.waf-default,aws.waf,default,159780,51740,2026-08-31T22:11:26.976Z,2026-09-03T12:49:57.254Z,ESF S3→SQS,AWS WAF logs,Live,logs-aws.waf,2
logs,logs-aws.elb_logs-default,aws.elb_logs,default,159455,52896,2026-08-31T23:03:04.431Z,2026-09-03T12:54:04.741Z,ESF S3→SQS,ALB/NLB/CLB access logs,Live,logs-aws.elb_logs,2
logs,logs-generic-default,generic,default,3809,0,2026-08-31T19:57:43.804Z,2026-08-31T22:11:47.220Z,ESF (unrouted),Leftover WAF JSON that missed aws.waf,Idle since 2026-08-31,logs,1
logs,logs-elastic_agent.status_change-default,elastic_agent.status_change,default,2709,5,2026-08-27T19:34:29.033Z,2026-09-03T11:23:01.960Z,Elastic Agent (agentless),Agent status-change events for aws-1,Live (low volume),logs-elastic_agent.status_change,1
logs,logs-agent_builder.otel-default,agent_builder.otel,default,25,0,2026-08-27T18:53:24.341Z,2026-09-02T09:09:32.771Z,Elastic platform,Kibana Agent Builder OTEL logs (not customer apps),Idle (no docs in 24h),logs-otel@template,1
metrics,metrics-k8sclusterreceiver.otel-default,k8sclusterreceiver.otel,default,1788853,1788853,2026-09-02T17:34:31.259Z,2026-09-03T12:54:52.548Z,OpenTelemetry Collector k8s_cluster,EKS kube-state metrics (e.g. apm-stage / 985408759551),Live since 2026-09-02 17:34Z,metrics-otel@template,1
metrics,metrics-aws.elb_metrics-default,aws.elb_metrics,default,1230000,280778,2026-08-28T19:40:00.000Z,2026-09-03T12:52:00.000Z,AWS integration aws-1 agentless,ELB metrics — account 041298796264,Live,metrics-aws.elb_metrics,1
metrics,metrics-aws.rds-default,aws.rds,default,65250,17120,2026-08-28T19:40:00.000Z,2026-09-03T12:52:00.000Z,AWS integration aws-1 agentless,RDS metrics — account 041298796264,Live,metrics-aws.rds,1
metrics,metrics-fleet_server.agent_status-default,fleet_server.agent_status,default,9668,1435,2026-08-27T19:34:29.040Z,2026-09-03T12:54:12.996Z,Fleet Server / agentless,Agent online/offline status,Live,metrics-fleet_server.agent_status,1
metrics,metrics-fleet_server.agent_versions-default,fleet_server.agent_versions,default,9667,1435,2026-08-27T19:34:30.592Z,2026-09-03T12:54:13.244Z,Fleet Server / agentless,Agent version inventory,Live,metrics-fleet_server.agent_versions,1
metrics,metrics-aws.ec2_metrics-default,aws.ec2_metrics,default,8470,1892,2026-08-28T19:35:00.000Z,2026-09-03T12:45:00.000Z,AWS integration aws-1 agentless,EC2 instance metrics — account 041298796264,Live,metrics-aws.ec2_metrics,1
metrics,metrics-aws.cloudwatch_metrics-default,aws.cloudwatch_metrics,default,6193,0,2026-08-28T19:35:00.000Z,2026-08-31T17:20:00.000Z,AWS integration (input now off),Leftover AWS/EC2 custom CloudWatch metrics,Idle since 2026-08-31,metrics-aws.cloudwatch_metrics,1
metrics,metrics-aws.ebs-default,aws.ebs,default,6160,1376,2026-08-28T19:35:00.000Z,2026-09-03T12:45:00.000Z,AWS integration aws-1 agentless,EBS volume metrics — account 041298796264,Live,metrics-aws.ebs,1
metrics,metrics-aws.sqs-default,aws.sqs,default,4277,1720,2026-08-28T19:35:00.000Z,2026-09-03T12:45:00.000Z,AWS integration aws-1 agentless,SQS metrics — 041298796264 us-west-2/us-east-1,Live,metrics-aws.sqs,1
metrics,metrics-aws.lambda-default,aws.lambda,default,2243,1884,2026-08-31T17:30:00.000Z,2026-09-03T12:45:00.000Z,AWS integration aws-1 agentless,Lambda metrics — account 041298796264,Live,metrics-aws.lambda,1
metrics,metrics-service_summary.1m.otel-default,service_summary.1m.otel,default,1541,1541,2026-09-02T17:34:33.986Z,2026-09-03T12:54:21.922Z,OpenTelemetry / Elastic OTEL,1m service summary derived metrics,Live,metrics-service_summary.1m.otel@template,1
metrics,metrics-aws.billing-default,aws.billing,default,1291,0,2026-08-28T00:00:00.000Z,2026-09-02T00:00:00.000Z,AWS integration aws-1 agentless,Cost Explorer billing,Daily; last 2026-09-02,metrics-aws.billing,1
metrics,metrics-aws.sns-default,aws.sns,default,12,7,2026-08-30T02:20:00.000Z,2026-09-03T08:10:00.000Z,AWS integration aws-1 agentless,SNS metrics — account 041298796264,Sparse,metrics-aws.sns,1
traces,traces-agent_builder.otel-default,agent_builder.otel,default,258,0,2026-08-27T18:53:21.007Z,2026-09-02T09:09:47.634Z,Elastic platform,"Kibana AI Agent Builder traces (service.name=kibana), not application APM",Idle (no docs in 24h),traces-otel@template,1
synthetics,synthetics-browser.network-default,browser.network,default,62774,44392,2026-09-01T06:21:40.543Z,2026-09-03T12:44:03.655Z,Elastic Synthetics,Browser network waterfalls,Live,synthetics-browser.network,3
synthetics,synthetics-browser-default,browser,default,4974,3504,2026-09-01T06:21:40.282Z,2026-09-03T12:44:04.146Z,Elastic Synthetics,Browser journey results,Live,synthetics-browser,1
synthetics,synthetics-http-default,http,default,1366,670,2026-09-01T06:22:59.585Z,2026-09-03T12:45:59.996Z,Elastic Synthetics,HTTP ping / lightweight monitors,Live,synthetics-http,1
synthetics,synthetics-browser.screenshot-default,browser.screenshot,default,388,220,2026-09-01T06:21:41.452Z,2026-09-03T12:44:03.330Z,Elastic Synthetics,Browser screenshots,Live,synthetics-browser.screenshot,3
